"years_since_cessation","condition","prop_risk_reduction"
0,"Oral_cavity",0
0,"Pharynx",0
0,"Lung",0
0,"Nasopharynx_sinonasal",0
0,"Larynx",0
0,"Oesophageal_AC",0
0,"Oesophageal_SCC",0
0,"Stomach",0
0,"Pancreas",0
0,"Liver",0
0,"Colorectal",0
0,"Kidney",0
0,"Lower_urinary_tract",0
0,"Bladder",0
0,"Cervical",0
0,"Acute_myeloid_leukaemia",0
0,"Ischaemic_heart_disease",0
0,"Haemorrhagic_Stroke",0
0,"Ischaemic_Stroke",0
0,"Peripheral_arterial_disease",0
0,"Abdominal_aortic_aneurysm",0
0,"Venous_thromboembolism",0
0,"Chronic_obstructive_pulmonary_disease",0
0,"Asthma",0
0,"Tuberculosis",0
0,"Obstructive_sleep_apnoea",0
0,"Pneumonia",0
0,"Influenza_clinically_diagnosed",0
0,"Influenza_microbiologically_confirmed",0
0,"Diabetes",0
0,"Alzheimers_disease",0
0,"Vascular_dementia",0
0,"All_cause_dementia",0
0,"Depression",0
0,"Schizophrenia",0
0,"Multiple_sclerosis",0
0,"Systematic_lupus_erythematosis",0
0,"Low_back_pain",0
0,"Psoriasis",0
0,"Age_related_macular_degeneration",0
0,"Crohns_disease",0
0,"Hip_fracture",0
0,"Idiopathic_pulmonary_fibrosis",0
0,"Rheumatoid_arthritis",0
0,"Chronic_Kidney_disease",0
0,"End_stage_renal_disease",0
0,"Senile_cataract",0
0,"Bulimia",0
0,"Hearing_loss",0
0,"Ulcerative_colitis",0
0,"Psychosis",0
0,"Parkinson",0
1,"Oral_cavity",0.08876399
1,"Pharynx",0.08876399
1,"Lung",0.08876399
1,"Nasopharynx_sinonasal",0.08876399
1,"Larynx",0.08876399
1,"Oesophageal_AC",0.08876399
1,"Oesophageal_SCC",0.08876399
1,"Stomach",0.08876399
1,"Pancreas",0.08876399
1,"Liver",0.08876399
1,"Colorectal",0.08876399
1,"Kidney",0.08876399
1,"Lower_urinary_tract",0.08876399
1,"Bladder",0.08876399
1,"Cervical",0.08876399
1,"Acute_myeloid_leukaemia",0.08876399
1,"Ischaemic_heart_disease",0.382153995
1,"Haemorrhagic_Stroke",0.382153995
1,"Ischaemic_Stroke",0.382153995
1,"Peripheral_arterial_disease",0.382153995
1,"Abdominal_aortic_aneurysm",0.382153995
1,"Venous_thromboembolism",0.382153995
1,"Chronic_obstructive_pulmonary_disease",0.130571402
1,"Asthma",1
1,"Tuberculosis",1
1,"Obstructive_sleep_apnoea",1
1,"Pneumonia",1
1,"Influenza_clinically_diagnosed",1
1,"Influenza_microbiologically_confirmed",1
1,"Diabetes",0.382153995
1,"Alzheimers_disease",1
1,"Vascular_dementia",1
1,"All_cause_dementia",1
1,"Depression",1
1,"Schizophrenia",1
1,"Multiple_sclerosis",1
1,"Systematic_lupus_erythematosis",1
1,"Low_back_pain",1
1,"Psoriasis",1
1,"Age_related_macular_degeneration",1
1,"Crohns_disease",1
1,"Hip_fracture",1
1,"Idiopathic_pulmonary_fibrosis",1
1,"Rheumatoid_arthritis",1
1,"Chronic_Kidney_disease",1
1,"End_stage_renal_disease",1
1,"Senile_cataract",1
1,"Bulimia",1
1,"Hearing_loss",1
1,"Ulcerative_colitis",1
1,"Psychosis",1
1,"Parkinson",1
2,"Oral_cavity",0.169237632
2,"Pharynx",0.169237632
2,"Lung",0.169237632
2,"Nasopharynx_sinonasal",0.169237632
2,"Larynx",0.169237632
2,"Oesophageal_AC",0.169237632
2,"Oesophageal_SCC",0.169237632
2,"Stomach",0.169237632
2,"Pancreas",0.169237632
2,"Liver",0.169237632
2,"Colorectal",0.169237632
2,"Kidney",0.169237632
2,"Lower_urinary_tract",0.169237632
2,"Bladder",0.169237632
2,"Cervical",0.169237632
2,"Acute_myeloid_leukaemia",0.169237632
2,"Ischaemic_heart_disease",0.522289758
2,"Haemorrhagic_Stroke",0.522289758
2,"Ischaemic_Stroke",0.522289758
2,"Peripheral_arterial_disease",0.522289758
2,"Abdominal_aortic_aneurysm",0.522289758
2,"Venous_thromboembolism",0.522289758
2,"Chronic_obstructive_pulmonary_disease",0.242148339
2,"Asthma",1
2,"Tuberculosis",1
2,"Obstructive_sleep_apnoea",1
2,"Pneumonia",1
2,"Influenza_clinically_diagnosed",1
2,"Influenza_microbiologically_confirmed",1
2,"Diabetes",0.522289758
2,"Alzheimers_disease",1
2,"Vascular_dementia",1
2,"All_cause_dementia",1
2,"Depression",1
2,"Schizophrenia",1
2,"Multiple_sclerosis",1
2,"Systematic_lupus_erythematosis",1
2,"Low_back_pain",1
2,"Psoriasis",1
2,"Age_related_macular_degeneration",1
2,"Crohns_disease",1
2,"Hip_fracture",1
2,"Idiopathic_pulmonary_fibrosis",1
2,"Rheumatoid_arthritis",1
2,"Chronic_Kidney_disease",1
2,"End_stage_renal_disease",1
2,"Senile_cataract",1
2,"Bulimia",1
2,"Hearing_loss",1
2,"Ulcerative_colitis",1
2,"Psychosis",1
2,"Parkinson",1
3,"Oral_cavity",0.242269307
3,"Pharynx",0.242269307
3,"Lung",0.242269307
3,"Nasopharynx_sinonasal",0.242269307
3,"Larynx",0.242269307
3,"Oesophageal_AC",0.242269307
3,"Oesophageal_SCC",0.242269307
3,"Stomach",0.242269307
3,"Pancreas",0.242269307
3,"Liver",0.242269307
3,"Colorectal",0.242269307
3,"Kidney",0.242269307
3,"Lower_urinary_tract",0.242269307
3,"Bladder",0.242269307
3,"Cervical",0.242269307
3,"Acute_myeloid_leukaemia",0.242269307
3,"Ischaemic_heart_disease",0.620840204
3,"Haemorrhagic_Stroke",0.620840204
3,"Ischaemic_Stroke",0.620840204
3,"Peripheral_arterial_disease",0.620840204
3,"Abdominal_aortic_aneurysm",0.620840204
3,"Venous_thromboembolism",0.620840204
3,"Chronic_obstructive_pulmonary_disease",0.337838293
3,"Asthma",1
3,"Tuberculosis",1
3,"Obstructive_sleep_apnoea",1
3,"Pneumonia",1
3,"Influenza_clinically_diagnosed",1
3,"Influenza_microbiologically_confirmed",1
3,"Diabetes",0.620840204
3,"Alzheimers_disease",1
3,"Vascular_dementia",1
3,"All_cause_dementia",1
3,"Depression",1
3,"Schizophrenia",1
3,"Multiple_sclerosis",1
3,"Systematic_lupus_erythematosis",1
3,"Low_back_pain",1
3,"Psoriasis",1
3,"Age_related_macular_degeneration",1
3,"Crohns_disease",1
3,"Hip_fracture",1
3,"Idiopathic_pulmonary_fibrosis",1
3,"Rheumatoid_arthritis",1
3,"Chronic_Kidney_disease",1
3,"End_stage_renal_disease",1
3,"Senile_cataract",1
3,"Bulimia",1
3,"Hearing_loss",1
3,"Ulcerative_colitis",1
3,"Psychosis",1
3,"Parkinson",1
4,"Oral_cavity",0.30861345
4,"Pharynx",0.30861345
4,"Lung",0.30861345
4,"Nasopharynx_sinonasal",0.30861345
4,"Larynx",0.30861345
4,"Oesophageal_AC",0.30861345
4,"Oesophageal_SCC",0.30861345
4,"Stomach",0.30861345
4,"Pancreas",0.30861345
4,"Liver",0.30861345
4,"Colorectal",0.30861345
4,"Kidney",0.30861345
4,"Lower_urinary_tract",0.30861345
4,"Bladder",0.30861345
4,"Cervical",0.30861345
4,"Acute_myeloid_leukaemia",0.30861345
4,"Ischaemic_heart_disease",0.696105267
4,"Haemorrhagic_Stroke",0.696105267
4,"Ischaemic_Stroke",0.696105267
4,"Peripheral_arterial_disease",0.696105267
4,"Abdominal_aortic_aneurysm",0.696105267
4,"Venous_thromboembolism",0.696105267
4,"Chronic_obstructive_pulmonary_disease",0.420174664
4,"Asthma",1
4,"Tuberculosis",1
4,"Obstructive_sleep_apnoea",1
4,"Pneumonia",1
4,"Influenza_clinically_diagnosed",1
4,"Influenza_microbiologically_confirmed",1
4,"Diabetes",0.696105267
4,"Alzheimers_disease",1
4,"Vascular_dementia",1
4,"All_cause_dementia",1
4,"Depression",1
4,"Schizophrenia",1
4,"Multiple_sclerosis",1
4,"Systematic_lupus_erythematosis",1
4,"Low_back_pain",1
4,"Psoriasis",1
4,"Age_related_macular_degeneration",1
4,"Crohns_disease",1
4,"Hip_fracture",1
4,"Idiopathic_pulmonary_fibrosis",1
4,"Rheumatoid_arthritis",1
4,"Chronic_Kidney_disease",1
4,"End_stage_renal_disease",1
4,"Senile_cataract",1
4,"Bulimia",1
4,"Hearing_loss",1
4,"Ulcerative_colitis",1
4,"Psychosis",1
4,"Parkinson",1
5,"Oral_cavity",0.368941706
5,"Pharynx",0.368941706
5,"Lung",0.368941706
5,"Nasopharynx_sinonasal",0.368941706
5,"Larynx",0.368941706
5,"Oesophageal_AC",0.368941706
5,"Oesophageal_SCC",0.368941706
5,"Stomach",0.368941706
5,"Pancreas",0.368941706
5,"Liver",0.368941706
5,"Colorectal",0.368941706
5,"Kidney",0.368941706
5,"Lower_urinary_tract",0.368941706
5,"Bladder",0.368941706
5,"Cervical",0.368941706
5,"Acute_myeloid_leukaemia",0.368941706
5,"Ischaemic_heart_disease",0.761274945
5,"Haemorrhagic_Stroke",0.761274945
5,"Ischaemic_Stroke",0.761274945
5,"Peripheral_arterial_disease",0.761274945
5,"Abdominal_aortic_aneurysm",0.761274945
5,"Venous_thromboembolism",0.761274945
5,"Chronic_obstructive_pulmonary_disease",0.491237588
5,"Asthma",1
5,"Tuberculosis",1
5,"Obstructive_sleep_apnoea",1
5,"Pneumonia",1
5,"Influenza_clinically_diagnosed",1
5,"Influenza_microbiologically_confirmed",1
5,"Diabetes",0.761274945
5,"Alzheimers_disease",1
5,"Vascular_dementia",1
5,"All_cause_dementia",1
5,"Depression",1
5,"Schizophrenia",1
5,"Multiple_sclerosis",1
5,"Systematic_lupus_erythematosis",1
5,"Low_back_pain",1
5,"Psoriasis",1
5,"Age_related_macular_degeneration",1
5,"Crohns_disease",1
5,"Hip_fracture",1
5,"Idiopathic_pulmonary_fibrosis",1
5,"Rheumatoid_arthritis",1
5,"Chronic_Kidney_disease",1
5,"End_stage_renal_disease",1
5,"Senile_cataract",1
5,"Bulimia",1
5,"Hearing_loss",1
5,"Ulcerative_colitis",1
5,"Psychosis",1
5,"Parkinson",1
6,"Oral_cavity",0.423852671
6,"Pharynx",0.423852671
6,"Lung",0.423852671
6,"Nasopharynx_sinonasal",0.423852671
6,"Larynx",0.423852671
6,"Oesophageal_AC",0.423852671
6,"Oesophageal_SCC",0.423852671
6,"Stomach",0.423852671
6,"Pancreas",0.423852671
6,"Liver",0.423852671
6,"Colorectal",0.423852671
6,"Kidney",0.423852671
6,"Lower_urinary_tract",0.423852671
6,"Bladder",0.423852671
6,"Cervical",0.423852671
6,"Acute_myeloid_leukaemia",0.423852671
6,"Ischaemic_heart_disease",0.819059222
6,"Haemorrhagic_Stroke",0.819059222
6,"Ischaemic_Stroke",0.819059222
6,"Peripheral_arterial_disease",0.819059222
6,"Abdominal_aortic_aneurysm",0.819059222
6,"Venous_thromboembolism",0.819059222
6,"Chronic_obstructive_pulmonary_disease",0.55274499
6,"Asthma",1
6,"Tuberculosis",1
6,"Obstructive_sleep_apnoea",1
6,"Pneumonia",1
6,"Influenza_clinically_diagnosed",1
6,"Influenza_microbiologically_confirmed",1
6,"Diabetes",0.819059222
6,"Alzheimers_disease",1
6,"Vascular_dementia",1
6,"All_cause_dementia",1
6,"Depression",1
6,"Schizophrenia",1
6,"Multiple_sclerosis",1
6,"Systematic_lupus_erythematosis",1
6,"Low_back_pain",1
6,"Psoriasis",1
6,"Age_related_macular_degeneration",1
6,"Crohns_disease",1
6,"Hip_fracture",1
6,"Idiopathic_pulmonary_fibrosis",1
6,"Rheumatoid_arthritis",1
6,"Chronic_Kidney_disease",1
6,"End_stage_renal_disease",1
6,"Senile_cataract",1
6,"Bulimia",1
6,"Hearing_loss",1
6,"Ulcerative_colitis",1
6,"Psychosis",1
6,"Parkinson",1
7,"Oral_cavity",0.473880415
7,"Pharynx",0.473880415
7,"Lung",0.473880415
7,"Nasopharynx_sinonasal",0.473880415
7,"Larynx",0.473880415
7,"Oesophageal_AC",0.473880415
7,"Oesophageal_SCC",0.473880415
7,"Stomach",0.473880415
7,"Pancreas",0.473880415
7,"Liver",0.473880415
7,"Colorectal",0.473880415
7,"Kidney",0.473880415
7,"Lower_urinary_tract",0.473880415
7,"Bladder",0.473880415
7,"Cervical",0.473880415
7,"Acute_myeloid_leukaemia",0.473880415
7,"Ischaemic_heart_disease",0.870199499
7,"Haemorrhagic_Stroke",0.870199499
7,"Ischaemic_Stroke",0.870199499
7,"Peripheral_arterial_disease",0.870199499
7,"Abdominal_aortic_aneurysm",0.870199499
7,"Venous_thromboembolism",0.870199499
7,"Chronic_obstructive_pulmonary_disease",0.606122445
7,"Asthma",1
7,"Tuberculosis",1
7,"Obstructive_sleep_apnoea",1
7,"Pneumonia",1
7,"Influenza_clinically_diagnosed",1
7,"Influenza_microbiologically_confirmed",1
7,"Diabetes",0.870199499
7,"Alzheimers_disease",1
7,"Vascular_dementia",1
7,"All_cause_dementia",1
7,"Depression",1
7,"Schizophrenia",1
7,"Multiple_sclerosis",1
7,"Systematic_lupus_erythematosis",1
7,"Low_back_pain",1
7,"Psoriasis",1
7,"Age_related_macular_degeneration",1
7,"Crohns_disease",1
7,"Hip_fracture",1
7,"Idiopathic_pulmonary_fibrosis",1
7,"Rheumatoid_arthritis",1
7,"Chronic_Kidney_disease",1
7,"End_stage_renal_disease",1
7,"Senile_cataract",1
7,"Bulimia",1
7,"Hearing_loss",1
7,"Ulcerative_colitis",1
7,"Psychosis",1
7,"Parkinson",1
8,"Oral_cavity",0.519501942
8,"Pharynx",0.519501942
8,"Lung",0.519501942
8,"Nasopharynx_sinonasal",0.519501942
8,"Larynx",0.519501942
8,"Oesophageal_AC",0.519501942
8,"Oesophageal_SCC",0.519501942
8,"Stomach",0.519501942
8,"Pancreas",0.519501942
8,"Liver",0.519501942
8,"Colorectal",0.519501942
8,"Kidney",0.519501942
8,"Lower_urinary_tract",0.519501942
8,"Bladder",0.519501942
8,"Cervical",0.519501942
8,"Acute_myeloid_leukaemia",0.519501942
8,"Ischaemic_heart_disease",0.914647464
8,"Haemorrhagic_Stroke",0.914647464
8,"Ischaemic_Stroke",0.914647464
8,"Peripheral_arterial_disease",0.914647464
8,"Abdominal_aortic_aneurysm",0.914647464
8,"Venous_thromboembolism",0.914647464
8,"Chronic_obstructive_pulmonary_disease",0.652571281
8,"Asthma",1
8,"Tuberculosis",1
8,"Obstructive_sleep_apnoea",1
8,"Pneumonia",1
8,"Influenza_clinically_diagnosed",1
8,"Influenza_microbiologically_confirmed",1
8,"Diabetes",0.914647464
8,"Alzheimers_disease",1
8,"Vascular_dementia",1
8,"All_cause_dementia",1
8,"Depression",1
8,"Schizophrenia",1
8,"Multiple_sclerosis",1
8,"Systematic_lupus_erythematosis",1
8,"Low_back_pain",1
8,"Psoriasis",1
8,"Age_related_macular_degeneration",1
8,"Crohns_disease",1
8,"Hip_fracture",1
8,"Idiopathic_pulmonary_fibrosis",1
8,"Rheumatoid_arthritis",1
8,"Chronic_Kidney_disease",1
8,"End_stage_renal_disease",1
8,"Senile_cataract",1
8,"Bulimia",1
8,"Hearing_loss",1
8,"Ulcerative_colitis",1
8,"Psychosis",1
8,"Parkinson",1
9,"Oral_cavity",0.561143738
9,"Pharynx",0.561143738
9,"Lung",0.561143738
9,"Nasopharynx_sinonasal",0.561143738
9,"Larynx",0.561143738
9,"Oesophageal_AC",0.561143738
