cause_group,years_since_cessation,excess_risk_percent,excess_risk_percent_lb,excess_risk_percent_ub
CVD,0,1,1,1
CVD,0.25,0.868661789,0.808532936,0.945937476
CVD,0.5,0.763674006,0.667237525,0.894379306
CVD,0.75,0.68103351,0.566483247,0.845203272
CVD,1,0.617846005,0.499028745,0.798294241
CVD,1.25,0.572107089,0.461126565,0.753543726
CVD,1.5,0.538257719,0.437918374,0.710849487
CVD,1.75,0.506936953,0.404457065,0.670125515
CVD,2,0.477710242,0.364037273,0.631352195
CVD,2.25,0.4504354,0.323555509,0.594293288
CVD,2.5,0.424988268,0.288756302,0.558992301
CVD,2.75,0.40126086,0.259135179,0.525501473
CVD,3,0.379159796,0.2347812,0.49382554
CVD,3.25,0.358604996,0.215468757,0.463849704
CVD,3.5,0.339528594,0.20088264,0.436893512
CVD,3.75,0.321444484,0.187716668,0.415734428
CVD,4,0.303894733,0.169414478,0.396047925
CVD,4.25,0.286863007,0.158818874,0.376645202
CVD,4.5,0.270333816,0.148635343,0.357522168
CVD,4.75,0.254292474,0.138854352,0.33867479
CVD,5,0.238725055,0.129466794,0.32010331
CVD,5.25,0.223618358,0.120463974,0.301897456
CVD,5.5,0.208959874,0.1118376,0.28393474
CVD,5.75,0.194737754,0.103577508,0.266134852
CVD,6,0.180940778,0.095681707,0.248590197
CVD,6.25,0.167558328,0.08813909,0.2312989
CVD,6.5,0.154580366,0.080942895,0.21425763
CVD,6.75,0.141997408,0.074087307,0.197487304
CVD,7,0.129800501,0.067566182,0.180959337
CVD,7.25,0.117981209,0.061373694,0.164665926
CVD,7.5,0.106531587,0.055504338,0.148603741
CVD,7.75,0.095606439,0.049952912,0.133147994
CVD,8,0.085352536,0.044714517,0.11868458
CVD,8.25,0.075751267,0.039784578,0.105179948
CVD,8.5,0.066785333,0.035158969,0.092586587
CVD,8.75,0.058438688,0.030833337,0.080907777
CVD,9,0.050696492,0.026803924,0.07009251
CVD,9.25,0.043545064,0.023067239,0.060128594
CVD,9.5,0.036971837,0.019620055,0.050993492
CVD,9.75,0.030965324,0.016459401,0.042669229
CVD,10,0.025515078,0.013582558,0.035134235
CVD,10.25,0.020611664,0.010988104,0.0283642
CVD,10.5,0.016246628,0.008671845,0.022344671
CVD,10.75,0.012412473,0.006632335,0.017062849
CVD,11,0.009102635,0.004868256,0.012507544
CVD,11.25,0.006311465,0.003378103,0.008668628
CVD,11.5,0.004034212,0.00216061,0.005538858
